correct 	math 	2.8secs 	3 ^ 0 	What is 3 ^ 0? 	== 	1 	RunAve=runAve math: 1/1 100% 2.8secs 	Sun Jan 17 2021 14:12:17 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	consistent:6 	consis____ 	== 	______tent 	RunAve=runAve spelling: 24/25 96% 10.4secs 	Sun Jan 17 2021 16:23:31 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.3secs 	attendant:3 	att______ 	!= 	___endent 	RunAve=runAve spelling: 23/25 92% 10.4secs 	Sun Jan 17 2021 16:23:52 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	attendant:8 	attendan_ 	== 	________t 	RunAve=runAve spelling: 23/25 92% 9.8secs 	Sun Jan 17 2021 16:24:11 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	attendant:7 	attenda__ 	== 	_______nt 	RunAve=runAve spelling: 23/25 92% 9.6secs 	Sun Jan 17 2021 16:24:51 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	attendant:6 	attend___ 	== 	______ant 	RunAve=runAve spelling: 23/25 92% 7.6secs 	Sun Jan 17 2021 16:25:11 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	attendant:5 	atten____ 	== 	_____dant 	RunAve=runAve spelling: 23/25 92% 7.2secs 	Sun Jan 17 2021 16:25:31 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.8secs 	attendant:4 	atte_____ 	!= 	____ndent 	RunAve=runAve spelling: 22/25 88% 7.2secs 	Sun Jan 17 2021 16:25:51 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	attendant:4 	atte_____ 	== 	____ndant 	RunAve=runAve spelling: 22/25 88% 7.2secs 	Sun Jan 17 2021 16:26:11 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	attendant:3 	att______ 	== 	___endant 	RunAve=runAve spelling: 22/25 88% 7.2secs 	Sun Jan 17 2021 16:26:32 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	attendant:2 	at_______ 	== 	__tendant 	RunAve=runAve spelling: 22/25 88% 5.9secs 	Sun Jan 17 2021 16:26:52 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.5secs 	attendant:1 	a________ 	!= 	_atendant 	RunAve=runAve spelling: 21/25 84% 5.9secs 	Sun Jan 17 2021 16:27:12 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	attendant:1 	a________ 	== 	_ttendant 	RunAve=runAve spelling: 21/25 84% 4.8secs 	Sun Jan 17 2021 16:27:52 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.7secs 	attempt:2 	at_____ 	!= 	__ttemt 	RunAve=runAve spelling: 20/25 80% 4.9secs 	Sun Jan 17 2021 16:28:13 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.5secs 	attempt:2 	at_____ 	!= 	__ttemt 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:28:32 GMT-0600 (Central Standard Time)
correct 	spelling 	4.6secs 	attempt:2 	at_____ 	== 	__tempt 	RunAve=runAve spelling: 20/25 80% 2.7secs 	Sun Jan 17 2021 16:28:54 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	3 * 2 	What is 3 * 2? 	== 	6 	RunAve=runAve math: 25/25 100% 13.0secs 	Sun Jan 17 2021 16:29:11 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	retire:1 	r_____ 	== 	_etire 	RunAve=runAve spelling: 20/25 80% 2.4secs 	Sun Jan 17 2021 16:29:32 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	livid:1 	l____ 	== 	_ivid 	RunAve=runAve spelling: 20/25 80% 2.3secs 	Sun Jan 17 2021 16:31:06 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	8 * 11 	What is 8 * 11? 	== 	88 	RunAve=runAve math: 25/25 100% 12.9secs 	Sun Jan 17 2021 16:31:27 GMT-0600 (Central Standard Time)
correct 	math 	5.8secs 	56 / 7 	What is 56 / 7? 	== 	8 	RunAve=runAve math: 25/25 100% 13.1secs 	Sun Jan 17 2021 16:31:51 GMT-0600 (Central Standard Time)
wrong 	math 	1.8secs 	3 ^ 3 	What is 3 ^ 3? 	!= 	64 	RunAve=runAve math: 24/25 96% 12.9secs 	Sun Jan 17 2021 16:32:07 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	3 * 3 	What is 3 * 3? 	== 	9 	RunAve=runAve math: 24/25 96% 12.7secs 	Sun Jan 17 2021 16:32:27 GMT-0600 (Central Standard Time)
correct 	math 	3.5secs 	3 ^ 2 	What is 3 ^ 2? 	== 	9 	RunAve=runAve math: 24/25 96% 12.8secs 	Sun Jan 17 2021 16:32:49 GMT-0600 (Central Standard Time)
correct 	math 	5.3secs 	3 ^ 3 	What is 3 ^ 3? 	== 	27 	RunAve=runAve math: 24/25 96% 12.9secs 	Sun Jan 17 2021 16:33:10 GMT-0600 (Central Standard Time)
correct 	math 	1.0secs 	1 * 3 	What is 1 * 3? 	== 	3 	RunAve=runAve math: 24/25 96% 12.9secs 	Sun Jan 17 2021 16:33:26 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	11 * -4 	What is 11 * -4? 	== 	-44 	RunAve=runAve math: 24/25 96% 12.9secs 	Sun Jan 17 2021 16:33:47 GMT-0600 (Central Standard Time)
correct 	math 	1.7secs 	11 * 8 	What is 11 * 8? 	== 	88 	RunAve=runAve math: 24/25 96% 12.9secs 	Sun Jan 17 2021 16:34:27 GMT-0600 (Central Standard Time)
correct 	spelling 	4.5secs 	malady:3 	mal___ 	== 	___ady 	RunAve=runAve spelling: 20/25 80% 2.4secs 	Sun Jan 17 2021 16:34:50 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	mitt:1 	m___ 	== 	_itt 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:35:08 GMT-0600 (Central Standard Time)
correct 	math 	4.5secs 	8 * 4 	What is 8 * 4? 	== 	32 	RunAve=runAve math: 24/25 96% 13.0secs 	Sun Jan 17 2021 16:35:30 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	defeat:1 	d_____ 	== 	_efeat 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:35:47 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math: 24/25 96% 9.5secs 	Sun Jan 17 2021 16:36:07 GMT-0600 (Central Standard Time)
correct 	math 	3.8secs 	9 * 7 	What is 9 * 7? 	== 	63 	RunAve=runAve math: 24/25 96% 9.4secs 	Sun Jan 17 2021 16:36:29 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	liable:1 	l_____ 	== 	_iable 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:36:47 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	celery:2 	ce____ 	== 	__lery 	RunAve=runAve spelling: 20/25 80% 2.4secs 	Sun Jan 17 2021 16:37:07 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	slope:1 	s____ 	== 	_lope 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:37:28 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	4 * 11 	What is 4 * 11? 	== 	44 	RunAve=runAve math: 24/25 96% 9.3secs 	Sun Jan 17 2021 16:37:47 GMT-0600 (Central Standard Time)
correct 	spelling 	3.4secs 	chart:1 	c____ 	== 	_hart 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:38:09 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	ostrich:1 	o______ 	== 	_strich 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:38:28 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	barn:1 	b___ 	== 	_arn 	RunAve=runAve spelling: 20/25 80% 2.5secs 	Sun Jan 17 2021 16:38:47 GMT-0600 (Central Standard Time)
correct 	math 	1.4secs 	2 * 8 	What is 2 * 8? 	== 	16 	RunAve=runAve math: 24/25 96% 9.3secs 	Sun Jan 17 2021 16:39:07 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	expose:1 	e_____ 	== 	_xpose 	RunAve=runAve spelling: 21/25 84% 2.5secs 	Sun Jan 17 2021 16:39:59 GMT-0600 (Central Standard Time)
correct 	math 	9.2secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 24/25 96% 9.6secs 	Sun Jan 17 2021 16:41:07 GMT-0600 (Central Standard Time)
correct 	spelling 	3.6secs 	swing:1 	s____ 	== 	_wing 	RunAve=runAve spelling: 21/25 84% 2.6secs 	Sun Jan 17 2021 16:41:21 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	still:2 	st___ 	== 	__ill 	RunAve=runAve spelling: 21/25 84% 2.6secs 	Sun Jan 17 2021 16:41:41 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	2 / 2 	What is 2 / 2? 	== 	1 	RunAve=runAve math: 24/25 96% 7.4secs 	Sun Jan 17 2021 16:42:00 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	11 * 7 	What is 11 * 7? 	== 	77 	RunAve=runAve math: 24/25 96% 7.4secs 	Sun Jan 17 2021 16:42:19 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	5 / 5 	What is 5 / 5? 	== 	1 	RunAve=runAve math: 24/25 96% 6.9secs 	Sun Jan 17 2021 16:42:40 GMT-0600 (Central Standard Time)
correct 	math 	3.7secs 	9 * 6 	What is 9 * 6? 	== 	54 	RunAve=runAve math: 24/25 96% 6.7secs 	Sun Jan 17 2021 16:43:01 GMT-0600 (Central Standard Time)
correct 	spelling 	2.3secs 	store:2 	st___ 	== 	__ore 	RunAve=runAve spelling: 21/25 84% 2.6secs 	Sun Jan 17 2021 16:43:20 GMT-0600 (Central Standard Time)
correct 	math 	3.1secs 	11 * 6 	What is 11 * 6? 	== 	66 	RunAve=runAve math: 24/25 96% 6.4secs 	Sun Jan 17 2021 16:43:41 GMT-0600 (Central Standard Time)
correct 	math 	10.4secs 	11 * 1 	What is 11 * 1? 	== 	11 	RunAve=runAve math: 24/25 96% 6.8secs 	Sun Jan 17 2021 16:44:08 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	truly:2 	tr___ 	== 	__uly 	RunAve=runAve spelling: 21/25 84% 2.6secs 	Sun Jan 17 2021 16:44:19 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	0 * 12 	What is 0 * 12? 	== 	0 	RunAve=runAve math: 24/25 96% 3.1secs 	Sun Jan 17 2021 16:44:39 GMT-0600 (Central Standard Time)
correct 	math 	5.0secs 	99 / 9 	What is 99 / 9? 	== 	11 	RunAve=runAve math: 24/25 96% 3.2secs 	Sun Jan 17 2021 16:45:03 GMT-0600 (Central Standard Time)
correct 	math 	3.2secs 	42 / 6 	What is 42 / 6? 	== 	7 	RunAve=runAve math: 24/25 96% 3.3secs 	Sun Jan 17 2021 16:46:41 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	11 * 9 	What is 11 * 9? 	== 	99 	RunAve=runAve math: 24/25 96% 3.3secs 	Sun Jan 17 2021 16:47:00 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	-10 * 7 	What is -10 * 7? 	== 	-70 	RunAve=runAve math: 24/25 96% 3.3secs 	Sun Jan 17 2021 16:47:20 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	frost:1 	f____ 	== 	_rost 	RunAve=runAve spelling: 22/25 88% 2.6secs 	Sun Jan 17 2021 16:47:40 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	cat:1 	c__ 	== 	_at 	RunAve=runAve spelling: 22/25 88% 2.6secs 	Sun Jan 17 2021 16:48:00 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math: 24/25 96% 3.2secs 	Sun Jan 17 2021 16:48:20 GMT-0600 (Central Standard Time)
correct 	math 	2.5secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math: 25/25 100% 3.2secs 	Sun Jan 17 2021 16:48:40 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	felony:2 	fe____ 	== 	__lony 	RunAve=runAve spelling: 22/25 88% 2.6secs 	Sun Jan 17 2021 16:49:00 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.3secs 	devastate:2 	de_______ 	!= 	null 	RunAve=runAve spelling: 21/25 84% 2.6secs 	Sun Jan 17 2021 16:49:21 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	devastate:8 	devastat_ 	== 	________e 	RunAve=runAve spelling: 22/25 88% 2.6secs 	Sun Jan 17 2021 16:49:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	devastate:7 	devasta__ 	== 	_______te 	RunAve=runAve spelling: 22/25 88% 2.5secs 	Sun Jan 17 2021 16:50:19 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	devastate:6 	devast___ 	== 	______ate 	RunAve=runAve spelling: 23/25 92% 2.5secs 	Sun Jan 17 2021 16:50:41 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	devastate:5 	devas____ 	== 	_____tate 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sun Jan 17 2021 16:50:59 GMT-0600 (Central Standard Time)
correct 	spelling 	2.9secs 	devastate:4 	deva_____ 	== 	____state 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sun Jan 17 2021 16:51:21 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	devastate:3 	dev______ 	== 	___astate 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sun Jan 17 2021 16:51:40 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	devastate:2 	de_______ 	== 	__vastate 	RunAve=runAve spelling: 24/25 96% 2.4secs 	Sun Jan 17 2021 16:52:00 GMT-0600 (Central Standard Time)
correct 	spelling 	6.3secs 	devastate:1 	d________ 	== 	_evastate 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 16:52:24 GMT-0600 (Central Standard Time)
correct 	spelling 	2.8secs 	emanate:2 	em_____ 	== 	__anate 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 16:52:41 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	escapade:3 	esc_____ 	== 	___apade 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 16:53:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	round:1 	r____ 	== 	_ound 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 16:53:20 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	12 / 6 	What is 12 / 6? 	== 	2 	RunAve=runAve math: 25/25 100% 3.2secs 	Sun Jan 17 2021 16:54:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	banana:1 	b_____ 	== 	_anana 	RunAve=runAve spelling: 24/25 96% 2.5secs 	Sun Jan 17 2021 16:54:20 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.4secs 	dread:1 	d____ 	!= 	_reed 	RunAve=runAve spelling: 23/25 92% 2.4secs 	Sun Jan 17 2021 16:54:38 GMT-0600 (Central Standard Time)
correct 	spelling 	1.1secs 	dread:4 	drea_ 	== 	____d 	RunAve=runAve spelling: 23/25 92% 2.3secs 	Sun Jan 17 2021 16:54:59 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	dread:3 	dre__ 	== 	___ad 	RunAve=runAve spelling: 23/25 92% 2.2secs 	Sun Jan 17 2021 16:55:20 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	dread:2 	dr___ 	== 	__ead 	RunAve=runAve spelling: 23/25 92% 2.3secs 	Sun Jan 17 2021 16:55:40 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	dread:1 	d____ 	== 	_read 	RunAve=runAve spelling: 23/25 92% 2.3secs 	Sun Jan 17 2021 16:56:00 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	bread:1 	b____ 	== 	_read 	RunAve=runAve spelling: 23/25 92% 2.2secs 	Sun Jan 17 2021 16:56:20 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	tread:1 	t____ 	== 	_read 	RunAve=runAve spelling: 23/25 92% 2.2secs 	Sun Jan 17 2021 16:56:40 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	thread:2 	th____ 	== 	__read 	RunAve=runAve spelling: 23/25 92% 2.2secs 	Sun Jan 17 2021 16:57:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	did:1 	d__ 	== 	_id 	RunAve=runAve spelling: 23/25 92% 2.2secs 	Sun Jan 17 2021 16:57:19 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	fright:3 	fri___ 	== 	___ght 	RunAve=runAve spelling: 23/25 92% 2.2secs 	Sun Jan 17 2021 16:57:40 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	slash:1 	s____ 	== 	_lash 	RunAve=runAve spelling: 23/25 92% 2.2secs 	Sun Jan 17 2021 16:58:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	brisk:1 	b____ 	== 	_risk 	RunAve=runAve spelling: 23/25 92% 2.1secs 	Sun Jan 17 2021 16:58:20 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	dominant:4 	domi____ 	== 	____nant 	RunAve=runAve spelling: 24/25 96% 2.1secs 	Sun Jan 17 2021 16:58:41 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	blaze:1 	b____ 	== 	_laze 	RunAve=runAve spelling: 24/25 96% 2.2secs 	Sun Jan 17 2021 16:59:01 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	hen:1 	h__ 	== 	_en 	RunAve=runAve spelling: 24/25 96% 2.2secs 	Sun Jan 17 2021 16:59:20 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	2 * -8 	What is 2 * -8? 	== 	-16 	RunAve=runAve math: 25/25 100% 3.2secs 	Sun Jan 17 2021 16:59:40 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	coil:1 	c___ 	== 	_oil 	RunAve=runAve spelling: 24/25 96% 2.1secs 	Sun Jan 17 2021 17:00:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	bray:1 	b___ 	== 	_ray 	RunAve=runAve spelling: 24/25 96% 2.2secs 	Sun Jan 17 2021 17:00:40 GMT-0600 (Central Standard Time)
correct 	spelling 	2.2secs 	litter:2 	li____ 	== 	__tter 	RunAve=runAve spelling: 24/25 96% 2.1secs 	Sun Jan 17 2021 17:01:20 GMT-0600 (Central Standard Time)
correct 	math 	9.9secs 	-84 / -7 	What is -84 / -7? 	== 	12 	RunAve=runAve math: 25/25 100% 3.3secs 	Sun Jan 17 2021 17:01:48 GMT-0600 (Central Standard Time)
correct 	math 	5.2secs 	0 / 1 	What is 0 / 1? 	== 	0 	RunAve=runAve math: 25/25 100% 3.5secs 	Sun Jan 17 2021 17:02:03 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	plot:1 	p___ 	== 	_lot 	RunAve=runAve spelling: 24/25 96% 2.1secs 	Sun Jan 17 2021 17:02:20 GMT-0600 (Central Standard Time)
wrong 	math 	0.3secs 	0 * 12 	What is 0 * 12? 	!= 	24 	RunAve=runAve math: 24/25 96% 3.4secs 	Sun Jan 17 2021 17:02:38 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	0 * 10 	What is 0 * 10? 	== 	0 	RunAve=runAve math: 24/25 96% 3.4secs 	Sun Jan 17 2021 17:03:00 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	0 * 11 	What is 0 * 11? 	== 	0 	RunAve=runAve math: 24/25 96% 3.3secs 	Sun Jan 17 2021 17:03:20 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	0 * 12 	What is 0 * 12? 	== 	0 	RunAve=runAve math: 24/25 96% 3.3secs 	Sun Jan 17 2021 17:03:40 GMT-0600 (Central Standard Time)
correct 	math 	2.4secs 	9 * 0 	What is 9 * 0? 	== 	0 	RunAve=runAve math: 24/25 96% 3.3secs 	Sun Jan 17 2021 17:04:10 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	poke:1 	p___ 	== 	_oke 	RunAve=runAve spelling: 24/25 96% 2.1secs 	Sun Jan 17 2021 17:05:10 GMT-0600 (Central Standard Time)
correct 	math 	1.9secs 	2 * 9 	What is 2 * 9? 	== 	18 	RunAve=runAve math: 24/25 96% 3.3secs 	Sun Jan 17 2021 17:05:50 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	trap:1 	t___ 	== 	_rap 	RunAve=runAve spelling: 24/25 96% 1.9secs 	Sun Jan 17 2021 17:06:13 GMT-0600 (Central Standard Time)
correct 	spelling 	1.8secs 	bent:1 	b___ 	== 	_ent 	RunAve=runAve spelling: 24/25 96% 1.9secs 	Sun Jan 17 2021 17:06:34 GMT-0600 (Central Standard Time)
correct 	math 	18.0secs 	54 / 9 	What is 54 / 9? 	== 	6 	RunAve=runAve math: 24/25 96% 3.9secs 	Sun Jan 17 2021 17:07:16 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.0secs 	dark:1 	d___ 	!= 	_ork 	RunAve=runAve spelling: 23/25 92% 1.9secs 	Sun Jan 17 2021 17:07:20 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	dark:3 	dar_ 	== 	___k 	RunAve=runAve spelling: 23/25 92% 1.8secs 	Sun Jan 17 2021 17:07:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.0secs 	dark:2 	da__ 	== 	__rk 	RunAve=runAve spelling: 23/25 92% 1.8secs 	Sun Jan 17 2021 17:07:59 GMT-0600 (Central Standard Time)
correct 	spelling 	4.9secs 	dark:1 	d___ 	== 	_ark 	RunAve=runAve spelling: 24/25 96% 2.0secs 	Sun Jan 17 2021 17:08:23 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	bark:1 	b___ 	== 	_ark 	RunAve=runAve spelling: 24/25 96% 2.0secs 	Sun Jan 17 2021 17:08:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	shark:1 	s____ 	== 	_hark 	RunAve=runAve spelling: 24/25 96% 2.0secs 	Sun Jan 17 2021 17:08:59 GMT-0600 (Central Standard Time)
correct 	spelling 	1.4secs 	mark:1 	m___ 	== 	_ark 	RunAve=runAve spelling: 24/25 96% 2.0secs 	Sun Jan 17 2021 17:09:19 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	mope:1 	m___ 	== 	_ope 	RunAve=runAve spelling: 24/25 96% 2.0secs 	Sun Jan 17 2021 17:09:39 GMT-0600 (Central Standard Time)
correct 	spelling 	7.5secs 	ailment:1 	a______ 	== 	_ilment 	RunAve=runAve spelling: 24/25 96% 2.2secs 	Sun Jan 17 2021 17:10:05 GMT-0600 (Central Standard Time)
correct 	math 	2.3secs 	2 * 8 	What is 2 * 8? 	== 	16 	RunAve=runAve math: 24/25 96% 3.7secs 	Sun Jan 17 2021 17:10:20 GMT-0600 (Central Standard Time)
correct 	math 	2.1secs 	-12 ^ 0 	What is -12 ^ 0? 	== 	1 	RunAve=runAve math: 24/25 96% 3.7secs 	Sun Jan 17 2021 17:10:40 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.3secs 	rare:1 	r___ 	!= 	_ire 	RunAve=runAve spelling: 23/25 92% 2.1secs 	Sun Jan 17 2021 17:10:58 GMT-0600 (Central Standard Time)
correct 	spelling 	1.3secs 	rare:3 	rar_ 	== 	___e 	RunAve=runAve spelling: 23/25 92% 2.1secs 	Sun Jan 17 2021 17:11:19 GMT-0600 (Central Standard Time)
correct 	spelling 	1.5secs 	rare:2 	ra__ 	== 	__re 	RunAve=runAve spelling: 23/25 92% 2.1secs 	Sun Jan 17 2021 17:11:39 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	rare:1 	r___ 	== 	_are 	RunAve=runAve spelling: 23/25 92% 2.0secs 	Sun Jan 17 2021 17:11:59 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	bare:1 	b___ 	== 	_are 	RunAve=runAve spelling: 23/25 92% 2.1secs 	Sun Jan 17 2021 17:12:20 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	dare:1 	d___ 	== 	_are 	RunAve=runAve spelling: 23/25 92% 2.1secs 	Sun Jan 17 2021 17:13:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	mare:1 	m___ 	== 	_are 	RunAve=runAve spelling: 23/25 92% 2.0secs 	Sun Jan 17 2021 17:13:20 GMT-0600 (Central Standard Time)
correct 	spelling 	2.1secs 	more:1 	m___ 	== 	_ore 	RunAve=runAve spelling: 23/25 92% 2.0secs 	Sun Jan 17 2021 17:14:00 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	cram:1 	c___ 	== 	_ram 	RunAve=runAve spelling: 23/25 92% 2.0secs 	Sun Jan 17 2021 17:14:35 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	cane:1 	c___ 	== 	_ane 	RunAve=runAve spelling: 23/25 92% 2.0secs 	Sun Jan 17 2021 17:14:55 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.9secs 	meet:1 	m___ 	!= 	null 	RunAve=runAve spelling: 22/25 88% 2.0secs 	Sun Jan 17 2021 17:15:15 GMT-0600 (Central Standard Time)
correct 	spelling 	1.2secs 	meet:3 	mee_ 	== 	___t 	RunAve=runAve spelling: 22/25 88% 2.0secs 	Sun Jan 17 2021 17:15:34 GMT-0600 (Central Standard Time)
correct 	spelling 	2.6secs 	meet:2 	me__ 	== 	__et 	RunAve=runAve spelling: 22/25 88% 2.0secs 	Sun Jan 17 2021 17:15:55 GMT-0600 (Central Standard Time)
correct 	spelling 	1.7secs 	meet:1 	m___ 	== 	_eet 	RunAve=runAve spelling: 22/25 88% 2.0secs 	Sun Jan 17 2021 17:16:15 GMT-0600 (Central Standard Time)
correct 	spelling 	1.6secs 	beet:1 	b___ 	== 	_eet 	RunAve=runAve spelling: 22/25 88% 2.0secs 	Sun Jan 17 2021 17:16:35 GMT-0600 (Central Standard Time)
correct 	spelling 	2.0secs 	beetle:3 	bee___ 	== 	___tle 	RunAve=runAve spelling: 22/25 88% 2.0secs 	Sun Jan 17 2021 17:16:55 GMT-0600 (Central Standard Time)
wrong 	spelling 	1.9secs 	feet:1 	f___ 	!= 	null 	RunAve=runAve spelling: 22/25 88% 2.0secs 	Sun Jan 17 2021 17:17:15 GMT-0600 (Central Standard Time)
correct 	spelling 	7.5secs 	feet:1 	f___ 	== 	_eet 	RunAve=runAve spelling: 22/25 88% 2.3secs 	Sun Jan 17 2021 17:17:41 GMT-0600 (Central Standard Time)
correct 	math 	1.6secs 	3 * 4 	What is 3 * 4? 	== 	12 	RunAve=runAve math: 24/25 96% 3.7secs 	Sun Jan 17 2021 17:17:55 GMT-0600 (Central Standard Time)
correct 	math 	2.0secs 	7 * -5 	What is 7 * -5? 	== 	-35 	RunAve=runAve math: 24/25 96% 3.7secs 	Sun Jan 17 2021 17:18:15 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	2 ^ 1 	What is 2 ^ 1? 	== 	2 	RunAve=runAve math: 24/25 96% 3.6secs 	Sun Jan 17 2021 17:18:35 GMT-0600 (Central Standard Time)
