correct 	spelling:chat-only:5 	7.1secs 	cocoanuts:2 	co_______ 	== 	__coanuts 	RunAve=runAve spelling:chat-only:5: 1/1 100% 7.1secs 	Wed Feb 03 2021 21:46:09 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	1.9secs 	erroneous:1next-letter 	e________ 	== 	r 	RunAve=runAve spelling:next-letter:5: 24/25 96% 5.7secs 	Wed Feb 03 2021 22:36:41 GMT-0600 (Central Standard Time)
correct 	math:^ 	5.3secs 	0 ^ 2 	What is 0 ^ 2? 	== 	0 	RunAve=runAve math:^: 1/1 100% 5.3secs 	Thu Feb 04 2021 10:18:04 GMT-0600 (Central Standard Time)
correct 	math:^ 	11.0secs 	-11 ^ 2 	What is -11 ^ 2? 	== 	121 	RunAve=runAve math:^: 2/2 100% 8.1secs 	Thu Feb 04 2021 10:18:36 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.4secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math:^: 3/3 100% 6.6secs 	Thu Feb 04 2021 10:19:00 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.9secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 4/4 100% 5.9secs 	Thu Feb 04 2021 10:20:22 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.8secs 	1 ^ 1 	What is 1 ^ 1? 	== 	1 	RunAve=runAve math:^: 5/5 100% 5.5secs 	Thu Feb 04 2021 10:20:47 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.7secs 	0 ^ 2 	What is 0 ^ 2? 	== 	0 	RunAve=runAve math:^: 6/6 100% 5.0secs 	Thu Feb 04 2021 10:21:11 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.1secs 	1 ^ 1 	What is 1 ^ 1? 	== 	1 	RunAve=runAve math:^: 7/7 100% 4.7secs 	Thu Feb 04 2021 10:21:35 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.0secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 8/8 100% 4.7secs 	Thu Feb 04 2021 10:22:00 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.3secs 	3 ^ 1 	What is 3 ^ 1? 	== 	3 	RunAve=runAve math:^: 9/9 100% 4.6secs 	Thu Feb 04 2021 10:22:26 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.1secs 	1 ^ 2 	What is 1 ^ 2? 	== 	1 	RunAve=runAve math:^: 10/10 100% 4.5secs 	Thu Feb 04 2021 10:22:50 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.0secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 11/11 100% 4.3secs 	Thu Feb 04 2021 10:23:14 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.6secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math:^: 12/12 100% 4.3secs 	Thu Feb 04 2021 10:24:22 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.0secs 	-12 ^ 2 	What is -12 ^ 2? 	== 	144 	RunAve=runAve math:^: 13/13 100% 4.2secs 	Thu Feb 04 2021 10:24:46 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math:^: 14/14 100% 4.0secs 	Thu Feb 04 2021 10:25:10 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.4secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 15/15 100% 4.0secs 	Thu Feb 04 2021 10:25:34 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.0secs 	-9 ^ 2 	What is -9 ^ 2? 	== 	81 	RunAve=runAve math:^: 16/16 100% 3.9secs 	Thu Feb 04 2021 10:25:58 GMT-0600 (Central Standard Time)
correct 	math:^ 	11.0secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math:^: 17/17 100% 4.3secs 	Thu Feb 04 2021 10:26:30 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.4secs 	1 ^ 1 	What is 1 ^ 1? 	== 	1 	RunAve=runAve math:^: 18/18 100% 4.2secs 	Thu Feb 04 2021 10:26:54 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.0secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 19/19 100% 4.2secs 	Thu Feb 04 2021 10:27:18 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.7secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 20/20 100% 4.1secs 	Thu Feb 04 2021 10:27:43 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.2secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 21/21 100% 4.1secs 	Thu Feb 04 2021 10:31:02 GMT-0600 (Central Standard Time)
wrong 	math:^ 	4.6secs 	6 ^ 2 	What is 6 ^ 2? 	!= 	64 	RunAve=runAve math:^: 21/22 95% 4.1secs 	Thu Feb 04 2021 10:31:28 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.8secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 22/23 95% 4.1secs 	Thu Feb 04 2021 10:31:38 GMT-0600 (Central Standard Time)
correct 	math:* 	4.4secs 	6 * 6 	What is 6 * 6? 	== 	36 	RunAve=runAve math:*: 1/1 100% 4.4secs 	Thu Feb 04 2021 10:32:03 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.8secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 23/24 95% 4.1secs 	Thu Feb 04 2021 10:32:17 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.9secs 	-10 ^ 2 	What is -10 ^ 2? 	== 	100 	RunAve=runAve math:^: 24/25 96% 4.0secs 	Thu Feb 04 2021 10:32:31 GMT-0600 (Central Standard Time)
correct 	math:* 	3.6secs 	6 * 6 	What is 6 * 6? 	== 	36 	RunAve=runAve math:*: 2/2 100% 4.0secs 	Thu Feb 04 2021 10:32:56 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.4secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 24/25 96% 3.9secs 	Thu Feb 04 2021 10:33:09 GMT-0600 (Central Standard Time)
correct 	math:^ 	5.1secs 	-7 ^ 2 	What is -7 ^ 2? 	== 	49 	RunAve=runAve math:^: 24/25 96% 3.7secs 	Thu Feb 04 2021 10:33:25 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.6secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math:^: 24/25 96% 3.6secs 	Thu Feb 04 2021 10:33:49 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math:^: 24/25 96% 3.6secs 	Thu Feb 04 2021 10:34:12 GMT-0600 (Central Standard Time)
correct 	math:^ 	7.4secs 	-2 ^ 3 	What is -2 ^ 3? 	== 	-8 	RunAve=runAve math:^: 24/25 96% 3.7secs 	Thu Feb 04 2021 10:34:41 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.5secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math:^: 24/25 96% 3.7secs 	Thu Feb 04 2021 10:35:04 GMT-0600 (Central Standard Time)
correct 	math:^ 	9.2secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 24/25 96% 3.9secs 	Thu Feb 04 2021 10:35:35 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.3secs 	-6 ^ 2 	What is -6 ^ 2? 	== 	36 	RunAve=runAve math:^: 24/25 96% 3.9secs 	Thu Feb 04 2021 10:35:59 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.2secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 24/25 96% 3.8secs 	Thu Feb 04 2021 10:36:22 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.6secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math:^: 24/25 96% 3.8secs 	Thu Feb 04 2021 10:36:47 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.0secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math:^: 24/25 96% 3.8secs 	Thu Feb 04 2021 10:37:11 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.5secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 24/25 96% 3.8secs 	Thu Feb 04 2021 10:37:35 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.0secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math:^: 24/25 96% 3.8secs 	Thu Feb 04 2021 10:37:59 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.2secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 24/25 96% 3.8secs 	Thu Feb 04 2021 10:38:23 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.2secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math:^: 24/25 96% 3.8secs 	Thu Feb 04 2021 10:38:46 GMT-0600 (Central Standard Time)
correct 	math:^ 	1.6secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math:^: 24/25 96% 3.7secs 	Thu Feb 04 2021 10:39:09 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.3secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 24/25 96% 3.4secs 	Thu Feb 04 2021 10:39:33 GMT-0600 (Central Standard Time)
correct 	math:^ 	1.8secs 	2 ^ 2 	What is 2 ^ 2? 	== 	4 	RunAve=runAve math:^: 24/25 96% 3.4secs 	Thu Feb 04 2021 10:39:56 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.7secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 24/25 96% 3.4secs 	Thu Feb 04 2021 10:40:20 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.2secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math:^: 24/25 96% 3.4secs 	Thu Feb 04 2021 10:40:45 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math:^: 24/25 96% 3.4secs 	Thu Feb 04 2021 10:41:09 GMT-0600 (Central Standard Time)
correct 	math:^ 	1.5secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 10:41:31 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.2secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 10:41:56 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.0secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 10:42:20 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.9secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 10:42:44 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.3secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math:^: 25/25 100% 3.3secs 	Thu Feb 04 2021 10:43:09 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.9secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 10:43:33 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.5secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 3.3secs 	Thu Feb 04 2021 10:43:58 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.8secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math:^: 25/25 100% 3.3secs 	Thu Feb 04 2021 10:44:23 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.8secs 	7 ^ 2 	What is 7 ^ 2? 	== 	49 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 10:44:47 GMT-0600 (Central Standard Time)
correct 	math:^ 	11.8secs 	12 ^ 2 	What is 12 ^ 2? 	== 	144 	RunAve=runAve math:^: 25/25 100% 3.6secs 	Thu Feb 04 2021 11:06:35 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 3.3secs 	Thu Feb 04 2021 11:08:45 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.2secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 11:09:08 GMT-0600 (Central Standard Time)
correct 	math:^ 	1.9secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 11:09:31 GMT-0600 (Central Standard Time)
correct 	math:^ 	5.3secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math:^: 25/25 100% 3.3secs 	Thu Feb 04 2021 11:09:58 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	1 ^ 1 	What is 1 ^ 1? 	== 	1 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 11:10:21 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.4secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 11:10:44 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.5secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 11:11:08 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.7secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 11:11:32 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	5 ^ 2 	What is 5 ^ 2? 	== 	25 	RunAve=runAve math:^: 25/25 100% 3.2secs 	Thu Feb 04 2021 11:11:55 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.9secs 	0 ^ 1 	What is 0 ^ 1? 	== 	0 	RunAve=runAve math:^: 25/25 100% 3.3secs 	Thu Feb 04 2021 11:12:19 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.4secs 	1 ^ 3 	What is 1 ^ 3? 	== 	1 	RunAve=runAve math:^: 25/25 100% 3.3secs 	Thu Feb 04 2021 11:12:44 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.5secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 25/25 100% 3.4secs 	Thu Feb 04 2021 11:13:10 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.9secs 	0 ^ 0 	What is 0 ^ 0? 	== 	1 	RunAve=runAve math:^: 25/25 100% 3.5secs 	Thu Feb 04 2021 11:13:36 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.9secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math:^: 25/25 100% 3.4secs 	Thu Feb 04 2021 11:14:00 GMT-0600 (Central Standard Time)
correct 	math:^ 	20.0secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 4.2secs 	Thu Feb 04 2021 11:14:41 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.3secs 	2 ^ 2 	What is 2 ^ 2? 	== 	4 	RunAve=runAve math:^: 25/25 100% 4.2secs 	Thu Feb 04 2021 11:15:05 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.4secs 	3 ^ 2 	What is 3 ^ 2? 	== 	9 	RunAve=runAve math:^: 25/25 100% 4.2secs 	Thu Feb 04 2021 11:15:29 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.7secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math:^: 25/25 100% 4.2secs 	Thu Feb 04 2021 11:15:53 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.9secs 	4 ^ 2 	What is 4 ^ 2? 	== 	16 	RunAve=runAve math:^: 25/25 100% 4.2secs 	Thu Feb 04 2021 11:16:17 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.9secs 	0 ^ 1 	What is 0 ^ 1? 	== 	0 	RunAve=runAve math:^: 25/25 100% 4.2secs 	Thu Feb 04 2021 11:16:42 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.2secs 	1 ^ 2 	What is 1 ^ 2? 	== 	1 	RunAve=runAve math:^: 25/25 100% 4.2secs 	Thu Feb 04 2021 11:17:06 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.5secs 	9 ^ 2 	What is 9 ^ 2? 	== 	81 	RunAve=runAve math:^: 25/25 100% 4.1secs 	Thu Feb 04 2021 11:17:30 GMT-0600 (Central Standard Time)
correct 	math:^ 	3.8secs 	8 ^ 2 	What is 8 ^ 2? 	== 	64 	RunAve=runAve math:^: 25/25 100% 4.1secs 	Thu Feb 04 2021 11:17:55 GMT-0600 (Central Standard Time)
correct 	math:^ 	7.5secs 	0 ^ 3 	What is 0 ^ 3? 	== 	0 	RunAve=runAve math:^: 25/25 100% 4.3secs 	Thu Feb 04 2021 11:18:23 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math:^: 25/25 100% 3.9secs 	Thu Feb 04 2021 11:18:46 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.4secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 3.9secs 	Thu Feb 04 2021 11:19:10 GMT-0600 (Central Standard Time)
correct 	math:^ 	4.1secs 	10 ^ 2 	What is 10 ^ 2? 	== 	100 	RunAve=runAve math:^: 25/25 100% 4.0secs 	Thu Feb 04 2021 11:19:35 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.3secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 4.0secs 	Thu Feb 04 2021 11:19:58 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.2secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 3.9secs 	Thu Feb 04 2021 11:20:22 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.3secs 	11 ^ 2 	What is 11 ^ 2? 	== 	121 	RunAve=runAve math:^: 25/25 100% 3.9secs 	Thu Feb 04 2021 11:20:45 GMT-0600 (Central Standard Time)
correct 	math:^ 	2.1secs 	6 ^ 2 	What is 6 ^ 2? 	== 	36 	RunAve=runAve math:^: 25/25 100% 3.9secs 	Thu Feb 04 2021 11:21:08 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.4secs 	sanctuary:2 	sa_______ 	== 	__nctuary 	RunAve=runAve spelling:chat-only:5: 1/1 100% 6.4secs 	Thu Feb 04 2021 11:28:21 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	2.3secs 	polite:1 	p_____ 	== 	_olite 	RunAve=runAve spelling:chat-only:4: 1/1 100% 2.3secs 	Thu Feb 04 2021 11:28:44 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.8secs 	earthquake:3 	ear_______ 	== 	___thquake 	RunAve=runAve spelling:chat-only:5: 2/2 100% 5.1secs 	Thu Feb 04 2021 11:29:09 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	4.7secs 	covet:1 	c____ 	== 	_ovet 	RunAve=runAve spelling:chat-only:4: 2/2 100% 3.5secs 	Thu Feb 04 2021 11:29:35 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	3.6secs 	could:2 	co___ 	== 	__uld 	RunAve=runAve spelling:chat-only:4: 3/3 100% 3.5secs 	Thu Feb 04 2021 11:29:59 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.1secs 	friday:3 	fri___ 	== 	___day 	RunAve=runAve spelling:chat-only:5: 3/3 100% 4.4secs 	Thu Feb 04 2021 11:30:23 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	5.2secs 	portrait:1 	p_______ 	== 	_ortrait 	RunAve=runAve spelling:chat-only:4: 4/4 100% 3.9secs 	Thu Feb 04 2021 11:30:50 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	3.6secs 	capital:1 	c______ 	== 	_apital 	RunAve=runAve spelling:chat-only:4: 5/5 100% 3.9secs 	Thu Feb 04 2021 11:31:14 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	3.4secs 	lasso:1 	l____ 	== 	_asso 	RunAve=runAve spelling:chat-only:4: 6/6 100% 3.8secs 	Thu Feb 04 2021 11:31:39 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	3.3secs 	repair:1 	r_____ 	== 	_epair 	RunAve=runAve spelling:chat-only:4: 7/7 100% 3.7secs 	Thu Feb 04 2021 11:32:03 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	4.7secs 	relevant:1 	r_______ 	== 	_elevant 	RunAve=runAve spelling:chat-only:4: 8/8 100% 3.8secs 	Thu Feb 04 2021 11:32:29 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.0secs 	sixth:1 	s____ 	== 	_ixth 	RunAve=runAve spelling:chat-only:5: 4/4 100% 4.1secs 	Thu Feb 04 2021 11:32:53 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	5.1secs 	irksome:1 	i______ 	== 	_rksome 	RunAve=runAve spelling:chat-only:5: 5/5 100% 4.3secs 	Thu Feb 04 2021 11:33:19 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:4 	4.1secs 	besiege:1 	b______ 	!= 	_eseige 	RunAve=runAve spelling:chat-only:4: 8/9 88% 3.9secs 	Thu Feb 04 2021 11:33:45 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	3.1secs 	besiege:1 	b______ 	== 	_esiege 	RunAve=runAve spelling:chat-only:4: 9/10 90% 3.8secs 	Thu Feb 04 2021 11:33:54 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	4.4secs 	besiege:6decreasing 	besieg_ 	== 	______e 	RunAve=runAve spelling:chat-only:4: 10/11 90% 3.9secs 	Thu Feb 04 2021 11:34:19 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	3.5secs 	besiege:5decreasing 	besie__ 	== 	_____ge 	RunAve=runAve spelling:chat-only:4: 11/12 91% 3.8secs 	Thu Feb 04 2021 11:35:30 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	7.5secs 	besiege:4decreasing 	besi___ 	== 	____ege 	RunAve=runAve spelling:chat-only:4: 12/13 92% 4.1secs 	Thu Feb 04 2021 11:35:48 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	5.1secs 	besiege:3decreasing 	bes____ 	== 	___iege 	RunAve=runAve spelling:chat-only:4: 13/14 92% 4.2secs 	Thu Feb 04 2021 11:36:04 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	2.2secs 	besiege:2decreasing 	be_____ 	== 	__siege 	RunAve=runAve spelling:chat-only:4: 14/15 93% 4.0secs 	Thu Feb 04 2021 11:36:18 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	4.9secs 	besiege:1decreasing 	b______ 	== 	_esiege 	RunAve=runAve spelling:chat-only:4: 15/16 93% 4.1secs 	Thu Feb 04 2021 11:37:31 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	6.3secs 	recently:1 	r_______ 	== 	_ecently 	RunAve=runAve spelling:chat-only:5: 1/1 100% 6.3secs 	Thu Feb 04 2021 11:39:50 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:4 	3.0secs 	bare:1 	b___ 	== 	_are 	RunAve=runAve spelling:chat-only:4: 1/1 100% 3.0secs 	Thu Feb 04 2021 11:40:14 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	7.1secs 	coed:1 	c___ 	!= 	_oid 	RunAve=runAve spelling:chat-only:5: 1/2 50% 6.7secs 	Thu Feb 04 2021 11:40:43 GMT-0600 (Central Standard Time)
wrong 	spelling:chat-only:5 	3.4secs 	coed:1 	c___ 	!= 	_ood 	RunAve=runAve spelling:chat-only:5: 1/3 33% 5.6secs 	Thu Feb 04 2021 11:40:52 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	5.4secs 	coed:1 	c___ 	== 	_oed 	RunAve=runAve spelling:chat-only:5: 2/4 50% 5.5secs 	Thu Feb 04 2021 11:41:03 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	4.8secs 	birthday:1 	b_______ 	== 	_irthday 	RunAve=runAve spelling:chat-only:5: 3/5 60% 5.4secs 	Thu Feb 04 2021 11:42:29 GMT-0600 (Central Standard Time)
wrong 	spelling:next-letter:5 	6.0secs 	coed:0next-letter 	____ 	!= 	e 	RunAve=runAve spelling:next-letter:5: 0/1  0% 6.0secs 	Thu Feb 04 2021 11:42:56 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.2secs 	coed:0next-letter 	____ 	== 	c 	RunAve=runAve spelling:next-letter:5: 1/2 50% 4.1secs 	Thu Feb 04 2021 11:43:04 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.3secs 	coed:1next-letter 	c___ 	== 	o 	RunAve=runAve spelling:next-letter:5: 2/3 66% 3.5secs 	Thu Feb 04 2021 11:43:18 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.4secs 	coed:2next-letter 	co__ 	== 	e 	RunAve=runAve spelling:next-letter:5: 3/4 75% 3.2secs 	Thu Feb 04 2021 11:44:27 GMT-0600 (Central Standard Time)
correct 	spelling:next-letter:5 	2.7secs 	coed:3next-letter 	coe_ 	== 	d 	RunAve=runAve spelling:next-letter:5: 4/5 80% 3.1secs 	Thu Feb 04 2021 11:44:41 GMT-0600 (Central Standard Time)
correct 	spelling:typing:5 	8.0secs 	coed:typing 	coed 	== 	coed 	RunAve=runAve spelling:typing:5: 1/1 100% 8.0secs 	Thu Feb 04 2021 11:45:00 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.5secs 	coed:1 	c___ 	== 	_oed 	RunAve=runAve spelling:chat-only:5: 4/6 66% 4.9secs 	Thu Feb 04 2021 11:45:14 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.0secs 	coed:3decreasing 	coe_ 	== 	___d 	RunAve=runAve spelling:chat-only:5: 5/7 71% 4.5secs 	Thu Feb 04 2021 11:45:27 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	3.3secs 	coed:2decreasing 	co__ 	== 	__ed 	RunAve=runAve spelling:chat-only:5: 6/8 75% 4.3secs 	Thu Feb 04 2021 11:45:41 GMT-0600 (Central Standard Time)
correct 	spelling:chat-only:5 	2.6secs 	coed:1decreasing 	c___ 	== 	_oed 	RunAve=runAve spelling:chat-only:5: 7/9 77% 4.1secs 	Thu Feb 04 2021 11:45:55 GMT-0600 (Central Standard Time)
